最好的一次組合是第443次 0.0005	30	64	1024	1024	0.3	0.95	0	0.99	1228795.066
alpha,n_epochs,batch_size,layer1_size,layer2_size,policy_clip,gamma,entropy,gae_lambda,final_reward
0.0001,30,256,256,1024,0.3,0.995,0.0,0.99,1060655.3939188498
0.0001,30,256,256,1024,0.3,0.995,0.01,0.95,1042388.6943738194
0.0001,30,256,256,1024,0.3,0.995,0.01,0.99,1095655.9113566077
0.0001,30,256,1024,256,0.1,0.95,0.0,0.95,1026467.1933912303
0.0001,30,256,1024,256,0.1,0.95,0.0,0.99,1046595.3728843797
0.0001,30,256,1024,256,0.1,0.95,0.01,0.95,1078477.5859826496
0.0001,30,256,1024,256,0.1,0.95,0.01,0.99,990413.5596303483
0.0001,30,256,1024,256,0.1,0.995,0.0,0.95,1046848.5573856
0.0001,30,256,1024,256,0.1,0.995,0.0,0.99,1112140.7287649298
0.0001,30,256,1024,256,0.1,0.995,0.01,0.95,1112680.05516098
0.0001,30,256,1024,256,0.1,0.995,0.01,0.99,1148698.5295672712
0.0001,30,256,1024,256,0.3,0.95,0.0,0.95,1051910.0730690504
0.0001,30,256,1024,256,0.3,0.95,0.0,0.99,1041007.8300874601
0.0001,30,256,1024,256,0.3,0.95,0.01,0.95,1056707.4941020294
0.0001,30,256,1024,256,0.3,0.95,0.01,0.99,1060576.5018014181
0.0001,30,256,1024,256,0.3,0.995,0.0,0.95,1079625.2213681503
0.0001,30,256,1024,256,0.3,0.995,0.0,0.99,1052301.2446665904
0.0001,30,256,1024,256,0.3,0.995,0.01,0.95,1135072.2515067193
0.0001,30,256,1024,256,0.3,0.995,0.01,0.99,1010887.3290990805
0.0001,30,256,1024,1024,0.1,0.95,0.0,0.95,1102571.6960836097
0.0001,30,256,1024,1024,0.1,0.95,0.0,0.99,1037111.9047261805
0.0001,30,256,1024,1024,0.1,0.95,0.01,0.95,1015119.5466333996
0.0001,30,256,1024,1024,0.1,0.95,0.01,0.99,1041118.9636840906
0.0001,30,256,1024,1024,0.1,0.995,0.0,0.95,1045905.6345855808
0.0001,30,256,1024,1024,0.1,0.995,0.0,0.99,1075082.95575955
0.0001,30,256,1024,1024,0.1,0.995,0.01,0.95,1113282.7429153882
0.0001,30,256,1024,1024,0.1,0.995,0.01,0.99,1065687.0956570804
0.0001,30,256,1024,1024,0.3,0.95,0.0,0.95,1050987.92370572
0.0001,30,256,1024,1024,0.3,0.95,0.0,0.99,1092403.1894261902
0.0001,30,256,1024,1024,0.3,0.95,0.01,0.95,1004462.8397319706
0.0001,30,256,1024,1024,0.3,0.95,0.01,0.99,1018913.7484216011
0.0001,30,256,1024,1024,0.3,0.995,0.0,0.95,1090029.31803596
0.0001,30,256,1024,1024,0.3,0.995,0.0,0.99,1086253.7000713304
0.0001,30,256,1024,1024,0.3,0.995,0.01,0.95,1147654.2704777892
0.0001,30,256,1024,1024,0.3,0.995,0.01,0.99,1045762.9825058007
0.0005,10,64,256,256,0.1,0.95,0.0,0.95,1130276.8221011905
0.0005,10,64,256,256,0.1,0.95,0.0,0.99,1078667.7062086198
0.0005,10,64,256,256,0.1,0.95,0.01,0.95,1099742.8500609305
0.0005,10,64,256,256,0.1,0.95,0.01,0.99,1051386.4532628101
0.0005,10,64,256,256,0.1,0.995,0.0,0.95,1098015.3545384398
0.0005,10,64,256,256,0.1,0.995,0.0,0.99,1047943.8666394396
0.0005,10,64,256,256,0.1,0.995,0.01,0.95,1045208.206125739
0.0005,10,64,256,256,0.1,0.995,0.01,0.99,986078.7933096911
0.0005,10,64,256,256,0.3,0.95,0.0,0.95,1047906.8262602594
0.0005,10,64,256,256,0.3,0.95,0.0,0.99,1041625.2760048697
0.0005,10,64,256,256,0.3,0.95,0.01,0.95,1065214.5269815293
0.0005,10,64,256,256,0.3,0.95,0.01,0.99,1161106.9672420507
0.0005,10,64,256,256,0.3,0.995,0.0,0.95,1095098.5826658695
0.0005,10,64,256,256,0.3,0.995,0.0,0.99,1051998.5756476505
0.0005,10,64,256,256,0.3,0.995,0.01,0.95,1109929.8522261595
0.0005,10,64,256,256,0.3,0.995,0.01,0.99,1065519.602886829
0.0005,10,64,256,1024,0.1,0.95,0.0,0.95,1108487.0641168398
0.0005,10,64,256,1024,0.1,0.95,0.0,0.99,1093015.09450879
0.0005,10,64,256,1024,0.1,0.95,0.01,0.95,1065422.9181772994
0.0005,10,64,256,1024,0.1,0.95,0.01,0.99,958059.9076216313
0.0005,10,64,256,1024,0.1,0.995,0.0,0.95,1071138.2437749794
